Capacity,AI_Tier,Description
Planning,L2,"The capacity, associated primarily with the prefrontal cortex, to generate and evaluate sequences of future actions in service of achieving goals, involving the integration of memory, current state representations, and anticipated outcomes."
Logical Reasoning,L2,A deliberative cognitive process mediated by prefrontal and parietal circuits that enables the derivation of conclusions from premises through systematic inference and multi-step problem decomposition.
Decision-making,L2,"The evaluative process by which the frontal cortex, in conjunction with the basal ganglia, weighs potential outcomes, rewards, and risks to select among competing action alternatives."
Working Memory,L2,A capacity of the prefrontal cortex to actively maintain and manipulate limited information in a readily accessible state for ongoing cognitive operations such as reasoning or planning.
Cognitive Flexibility,L3,"A prefrontal executive function that enables switching between strategies, perspectives, or task sets when a task's rules or goals change, requiring abandoning a previously correct approach that no longer applies (as opposed to trial-and-error learning or strategy refinement within a stable task)."
Inhibitory Control,L3,"The prefrontal capacity to suppress prepotent or contextually inappropriate responses, enabling self-regulation of behavior in accordance with internal goals rather than external stimuli."
Social Reasoning & Theory of Mind,L3,"Network-level capacities involving frontal and limbic structures that enable navigation of interpersonal contexts, including cooperation, communication, and the coordination of behavior with conspecifics, in part through the attribute of mental states—beliefs, intentions, desires—to other agents and the use of those attributions to predict and interpret those agents' behaviors."
Empathy,L3,A social-emotional capacity dependent on medial and orbitofrontal cortex interacting with limbic structures that enables the vicarious experience and understanding of others' affective states.
Emotional intelligence,L3,"A limbic–prefrontal capacity (including amygdala, insula, anterior cingulate, and ventromedial/orbitofrontal cortex) involving the recognition of affective states in oneself and others, the contextually appropriate modulation of behavior by affective states, and the contextually appropriate modulation of affective states as needed for adaptive behavior."
Self-reflection,L3,"A metacognitive capacity involving prefrontal regions that enables the monitoring and evaluation of one's own internal states, cognitive processes, and behavioral outputs."
Reward Mechanisms,L2,The dopaminergic circuitry of the basal ganglia that encodes reward prediction errors to reinforce behaviors leading to valued outcomes.
Multisensory Integration,L2,"A function of parietal association cortex and subcortical structures that combines information from distinct sensory modalities (visual, auditory, somatosensory) into unified perceptual representations."
Spatial Representation & Mapping,L2,"The parietal and hippocampal capacity to construct allocentric and egocentric spatial representations of the environment, supporting navigation and the localization of objects."
Attention,L2,"A thalamocortical mechanism, coordinated by frontal-parietal networks, that modulates sensory gain to selectively amplify task-relevant information while suppressing distractors."
Sensorimotor Coordination,L2,"The parietal-mediated transformation between sensory coordinate frames and motor coordinate frames that enables visually-guided reaching, grasping, and other goal-directed movements."
Tactile Perception,L3,"The somatosensory cortical processing of cutaneous and proprioceptive signals that enables discrimination of texture, pressure, temperature, and body position in space."
Visual Perception,L1,"The hierarchical processing within the occipital cortex and ventral stream that transforms retinal input into progressively abstract representations of edges, shapes, colors, and object identities."
Scene Understanding & Visual Reasoning,L2,"The capacity, extending beyond primary visual areas into temporal and parietal association cortex, to extract spatial relationships, contextual meaning, and causal structure from visual scenes."
Visual Attention & Eye Movements,L2,The oculomotor system's coordination with parietal-frontal attention networks to direct gaze toward behaviorally relevant stimuli and sequentially sample the visual environment.
Language Comprehension,L1,The temporal lobe capacity to map acoustic or visual linguistic signals onto semantic representations and compositional meaning.
Language Production,L1,"The frontal capacity, dependent on premotor and motor speech regions, to transform semantic and syntactic representations into articulated speech or written output."
Face Recognition,L1,A specialized function of the temporal cortex that enables rapid identification of individual conspecifics from facial configurations.
Auditory Processing,L1,"The temporal cortical analysis of acoustic signals in the temporal lobe that extracts frequency, timing, and spectral features underlying speech, music, and environmental sound recognition."
Episodic Memory,L2,"The hippocampal-dependent capacity to encode, consolidate, and retrieve context-rich representations of specific autobiographical events bound in space and time."
Lifelong Learning,L3,"The capacity for continual knowledge acquisition and skill refinement across the lifespan without catastrophic interference with previously learned information, enabled by complementary hippocampal and neocortical memory systems."
Semantic Understanding & Context Recognition,L2,"The temporal association cortex capacity to store and retrieve conceptual knowledge about objects, facts, and word meanings independent of specific encoding episodes."
Adaptive Error Correction,L2,"The cerebellar function of using sensory feedback about movement errors to progressively calibrate motor commands, enabling smooth, accurate, and coordinated action."
Motor Skill Learning,L2,"The gradual acquisition, mediated by basal ganglia and cerebellar circuits, of procedural knowledge through practice until performance becomes automatic and habitual."
Motor Coordination,L2,"The cerebellar fine-tuning of movement parameters—timing, force, trajectory—to ensure smooth, accurate, and well-sequenced motor output across muscle groups."
Cognitive Timing & Predictive Modeling,L3,"The cerebellar capacity to generate precise temporal predictions about upcoming sensory events and motor requirements, enabling anticipatory preparation and coordination."
Reflexive Responses,L1,"Brainstem-mediated, fast, stereotyped motor outputs triggered automatically by specific sensory inputs without requiring cortical deliberation."
Autonomic Regulation,L3,"The brainstem and hypothalamic control of visceral functions—heart rate, respiration, blood pressure, temperature—that maintain physiological homeostasis."
Arousal & Attention States,L3,The reticular activating system's modulation of global cortical excitability that regulates the sleep-wake continuum and determines overall alertness and vigilance levels.
Motivational Drives,L3,"The hypothalamic generation of internal need states (hunger, thirst, thermoregulation) that create action-initiating signals directing behavior toward homeostatic restoration."
