Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates software engineering by asking a model to generate a patch that fixes a real GitHub issue in a Python repository. Solutions are checked with repository-specific tests and human verification to ensure the task is genuinely solvable and the patch is correct.,"L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repair tasks beyond Python to multiple programming languages, testing whether models can debug and patch codebases in varied ecosystems. It emphasizes generalization across language syntax, tooling, and libraries while still requiring end-to-end patch correctness.","L1: Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more challenging and more contamination-resistant, spanning multiple languages and more complex real-world issues. Models must produce correct patches under realistic repository constraints, often requiring deeper debugging and system understanding.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Self-reflection (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures agentic ability in command-line environments, where models must execute multi-step tasks using shell commands and interpret program outputs. It stresses robust tool use, iterative debugging, and maintaining task state across longer action sequences.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Self-reflection (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep web research: models must locate and synthesize information from a fixed web/document corpus via search and browsing tools. Performance depends on decomposing queries, navigating sources, and integrating evidence into a final answer.","L1: Language Production (minor)
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive, policy-constrained customer-support style tasks with simulated users and APIs across domains (e.g., retail, airline, telecom). Agents must coordinate tool calls and dialogue while adhering to rules and resolving multi-turn objectives reliably.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld measures multimodal computer-use ability in realistic desktop environments, requiring agents to perceive screens and complete tasks through GUI interactions. Success typically requires navigation, error recovery, and coordinating perception with tool-driven actions over many steps.","L1: Visual Perception
L2: Planning, Decision-making, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid reasoning benchmark of abstract grid transformations, where models infer hidden rules from a few input-output examples and apply them to new cases. It is designed to emphasize generalization to novel patterns rather than memorized task templates.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by running a simulated vending-machine business over extended time, scoring final business outcomes like balance. Agents must plan, manage inventory and pricing, interact with suppliers, and adapt to changing conditions across many decisions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use via the Model Context Protocol, requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows across services. It targets agent robustness in production-like API environments rather than pure text QA.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates tasks typical of an entry-level financial analyst, often requiring data extraction, spreadsheet-like reasoning, and tool-assisted analysis with citations. It emphasizes producing correct, defensible work products under realistic professional constraints.","L1: Language Production (minor)
L2: Logical Reasoning, Decision-making, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on vulnerability identification and discovery tasks grounded in real open-source projects. Models must reason from vulnerability descriptions, inspect code, and propose or locate exploit-relevant issues under realistic constraints.","L1: 
L2: Logical Reasoning, Planning, Attention, Working Memory
L3: Self-reflection (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench tests whether models can solve real-world spreadsheet tasks, including navigating files, applying formulas, transforming data, and producing correct outputs. Many tasks require multi-step manipulation and careful state tracking across cells, sheets, and intermediate computations.","L1: Visual Perception (minor)
L2: Working Memory, Planning, Logical Reasoning, Decision-making (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a large, frontier-level benchmark spanning difficult questions across domains, including multimodal items, intended to probe advanced reasoning and broad knowledge. Systems may be evaluated in tool-free or tool-enabled settings depending on the reported configuration.","L1: Language Comprehension (minor), Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Multisensory Integration (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 is a competition-math benchmark based on the American Invitational Mathematics Examination, requiring multi-step derivations with exact numeric answers. It primarily measures mathematical problem solving rather than tool-use or memorized facts.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a subset of the GPQA science QA benchmark consisting of high-quality, difficult multiple-choice questions where experts succeed and non-experts often fail. It targets deep scientific reasoning and precise discrimination among plausible distractors.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU-style broad academic evaluation to many non-English languages, testing multilingual knowledge and reasoning across diverse subjects. It probes whether competence transfers across languages and scripts under standardized multiple-choice formats.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a multimodal benchmark spanning many disciplines where models must answer questions grounded in images (diagrams, charts, scenes) plus text. It emphasizes combining visual evidence with domain knowledge and multi-step reasoning.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging, professional-grade extension of MMMU that targets harder multimodal questions and stronger reasoning requirements. It is intended to better separate frontier models on high-difficulty visual-plus-text understanding.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA evaluates whether models can interpret and reason over complex scientific figures from biology papers, answering questions that require extracting trends, labels, and quantitative relationships. It is part of a broader suite aimed at measuring capabilities useful for scientific research workflows.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition, Logical Reasoning (minor), Attention (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents completing realistic tasks across multiple web apps (e-commerce, forums, Git repos, CMS) using a browser. Success requires long-horizon planning, interface understanding, and robust interaction with dynamic pages and forms.","L1: Visual Perception
L2: Planning, Decision-making, Scene Understanding & Visual Reasoning, Working Memory, Visual Attention & Eye Movements (minor)
L3: ",L2
